Time (s),SpO2 (%),Temp (C),Blood Flow (ml/s)
0.0,100.0,29.0,70.98
1.0,100.0,35.0,70.48
2.0,100.0,35.0,70.82
3.0,100.0,29.0,71.5
4.0,100.0,29.0,72.05
5.0,100.0,29.0,70.31
6.0,100.0,29.0,71.28
7.0,100.0,35.0,70.92
8.0,100.0,35.0,72.48
9.0,100.0,29.0,89.32
10.0,100.0,29.0,71.09
11.0,100.0,35.0,71.87
12.0,100.0,35.0,71.46
13.0,100.0,29.0,73.43
14.0,100.0,29.0,71.09
15.0,100.0,35.0,71.07
16.0,100.0,35.0,71.05
17.0,100.0,29.0,69.7
18.0,100.0,29.0,70.41
19.0,100.0,36.0,70.98
20.0,100.0,36.0,71.94
21.0,100.0,29.0,71.5
22.0,100.0,29.0,72.38
23.0,100.0,29.0,72.26
24.0,100.0,29.0,70.19
25.0,100.0,30.0,70.85
26.0,100.0,30.0,71.97
27.0,100.0,29.0,72.83
28.0,100.0,29.0,72.5
29.0,100.0,30.0,71.3
30.0,100.0,30.0,72.29
31.0,100.0,29.0,72.39
32.0,100.0,29.0,72.48
33.0,100.0,30.0,73.1
34.0,100.0,30.0,71.55
35.0,100.0,30.0,72.6
36.0,100.0,30.0,72.5
37.0,100.0,29.0,72.66
38.0,100.0,29.0,73.44
39.0,100.0,29.0,71.87
40.0,100.0,29.0,72.04
41.0,100.0,30.0,72.17
42.0,100.0,30.0,72.1
43.0,100.0,36.0,73.12
44.0,100.0,36.0,70.56
45.0,100.0,29.0,72.39
46.0,100.0,29.0,72.63
47.0,100.0,29.0,71.32
48.0,100.0,29.0,72.77
49.0,100.0,36.0,71.69
50.0,100.0,36.0,74.11
51.0,100.0,29.0,73.85
52.0,100.0,29.0,72.82
53.0,100.0,29.0,72.32
54.0,100.0,29.0,73.64
55.0,100.0,29.0,72.74
56.0,100.0,29.0,72.99
57.0,100.0,29.0,71.42
58.0,100.0,29.0,71.66
59.0,100.0,29.0,72.7
60.0,100.0,29.0,72.69
61.0,100.0,29.0,73.83
62.0,100.0,29.0,72.73
63.0,100.0,36.0,71.89
64.0,100.0,36.0,73.64
65.0,100.0,29.0,72.48
66.0,100.0,29.0,72.89
67.0,100.0,29.0,72.47
68.0,100.0,29.0,74.08
69.0,100.0,36.0,73.17
70.0,100.0,36.0,73.4
71.0,100.0,29.0,72.03
72.0,100.0,29.0,73.26
73.0,100.0,29.0,73.32
74.0,100.0,29.0,73.28
75.0,100.0,36.0,72.19
76.0,100.0,36.0,73.71
77.0,100.0,29.0,74.12
78.0,100.0,29.0,72.6
79.0,100.0,29.0,73.5
80.0,100.0,29.0,73.45
81.0,100.0,29.0,73.37
82.0,100.0,29.0,73.14
83.0,100.0,29.0,72.17
84.0,100.0,29.0,74.15
85.0,100.0,29.0,72.75
86.0,100.0,29.0,73.98
87.0,100.0,36.0,72.78
88.0,100.0,36.0,73.7
89.0,100.0,29.0,74.0
90.0,100.0,29.0,72.23
91.0,100.0,36.0,74.11
92.0,100.0,36.0,74.09
93.0,100.0,29.0,72.61
94.0,100.0,29.0,73.96
95.0,100.0,29.0,73.2
96.0,100.0,29.0,74.76
97.0,100.0,29.0,72.04
98.0,100.0,29.0,73.83
99.0,100.0,29.0,73.04
100.0,100.0,29.0,72.97
101.0,100.0,29.0,72.87
102.0,100.0,29.0,73.12
103.0,100.0,29.0,73.83
104.0,100.0,29.0,73.68
105.0,100.0,36.0,73.56
106.0,100.0,36.0,74.78
107.0,100.0,29.0,73.69
108.0,100.0,29.0,72.5
109.0,100.0,36.0,73.93
110.0,100.0,36.0,72.86
111.0,100.0,29.0,74.18
112.0,100.0,29.0,73.8
113.0,100.0,29.0,74.22
114.0,100.0,29.0,74.22
115.0,100.0,29.0,73.76
116.0,100.0,29.0,74.11
117.0,100.0,36.0,73.48
118.0,100.0,36.0,73.73
119.0,100.0,29.0,74.62
120.0,100.0,29.0,72.25
121.0,100.0,36.0,73.48
122.0,100.0,36.0,73.93
123.0,100.0,35.0,73.52
124.0,100.0,35.0,72.64
125.0,100.0,36.0,73.7
126.0,100.0,36.0,72.75
127.0,100.0,37.0,74.0
128.0,100.0,37.0,73.59
129.0,100.0,29.0,73.34
130.0,100.0,29.0,73.97
131.0,100.0,29.0,73.04
132.0,100.0,29.0,73.19
133.0,100.0,36.0,39.38
134.0,100.0,36.0,74.01
135.0,100.0,29.0,73.5
136.0,100.0,29.0,75.3
137.0,100.0,36.0,73.54
138.0,100.0,36.0,73.78
139.0,100.0,36.0,73.5
140.0,100.0,36.0,73.82
141.0,100.0,29.0,74.36
142.0,100.0,29.0,73.09
143.0,100.0,36.0,73.87
144.0,100.0,36.0,74.62
145.0,100.0,35.0,74.53
146.0,100.0,35.0,74.0
147.0,100.0,29.0,74.85
148.0,100.0,29.0,74.03
149.0,100.0,36.0,74.03
150.0,100.0,36.0,74.39
151.0,100.0,29.0,73.72
152.0,100.0,29.0,107.1
153.0,100.0,29.0,74.08
154.0,100.0,29.0,74.46
155.0,100.0,36.0,73.48
156.0,100.0,36.0,74.61
157.0,100.0,29.0,73.38
158.0,100.0,29.0,73.45
159.0,106.0,nan,74.36
160.0,105.0,nan,73.61
161.0,106.0,nan,73.68
162.0,104.0,nan,73.56
163.0,106.0,nan,73.57
164.0,104.0,nan,74.06
165.0,105.0,nan,75.75
166.0,106.0,nan,74.56
167.0,105.0,nan,74.2
168.0,105.0,nan,72.55
169.0,106.0,nan,73.18
170.0,100.0,nan,72.97
171.0,100.0,nan,72.99
172.0,100.0,nan,73.61
173.0,100.0,nan,73.97
174.0,100.0,nan,75.25
175.0,100.0,nan,73.32
176.0,100.0,nan,75.21
177.0,100.0,nan,74.34
178.0,100.0,nan,73.76
179.0,100.0,nan,74.69
180.0,100.0,nan,74.85
181.0,100.0,nan,72.89
182.0,100.0,nan,73.86
183.0,100.0,nan,73.81
184.0,100.0,nan,73.31
185.0,100.0,nan,73.98
186.0,100.0,nan,74.8
187.0,100.0,nan,73.28
188.0,100.0,nan,73.9
189.0,100.0,nan,72.9
190.0,100.0,nan,73.27
191.0,100.0,nan,74.46
192.0,100.0,nan,73.29
193.0,100.0,nan,75.39
194.0,100.0,nan,72.63
195.0,100.0,nan,73.78
196.0,100.0,nan,73.64
197.0,100.0,nan,73.67
198.0,100.0,nan,73.24
199.0,100.0,nan,74.32
200.0,100.0,nan,72.79
201.0,100.0,nan,74.12
202.0,100.0,29.0,73.51
203.0,100.0,29.0,75.21
204.0,100.0,29.0,74.83
205.0,100.0,29.0,73.55
206.0,100.0,29.0,74.61
207.0,100.0,29.0,73.37
208.0,100.0,29.0,72.62
209.0,100.0,29.0,72.84
210.0,100.0,29.0,74.16
211.0,100.0,36.0,72.75
212.0,100.0,36.0,73.68
213.0,100.0,37.0,73.37
214.0,100.0,37.0,73.21
215.0,100.0,36.0,48.42
216.0,100.0,36.0,73.4
217.0,100.0,29.0,72.76
218.0,100.0,29.0,74.0
219.0,100.0,36.0,72.29
220.0,100.0,36.0,72.18
221.0,100.0,29.0,72.83
222.0,100.0,29.0,73.61
223.0,100.0,36.0,72.25
224.0,100.0,36.0,73.77
225.0,100.0,36.0,72.55
226.0,100.0,36.0,74.05
227.0,100.0,36.0,73.59
228.0,100.0,36.0,73.97
229.0,100.0,29.0,74.29
230.0,100.0,29.0,73.37
231.0,100.0,36.0,73.69
232.0,100.0,36.0,72.8
233.0,100.0,36.0,72.2
234.0,100.0,36.0,72.7
235.0,100.0,29.0,73.79
236.0,100.0,29.0,72.96
237.0,100.0,29.0,72.25
238.0,100.0,29.0,72.44
239.0,100.0,37.0,73.53
240.0,100.0,37.0,72.42
241.0,100.0,36.0,74.03
242.0,100.0,36.0,72.36
243.0,100.0,29.0,71.36
244.0,100.0,29.0,74.11
245.0,100.0,36.0,73.07
246.0,100.0,36.0,71.18
247.0,100.0,29.0,73.83
248.0,100.0,29.0,73.43
249.0,100.0,29.0,72.59
250.0,100.0,29.0,73.01
